,0
0,Marca temporal
1,ID
2,EMOCIÃ“N EXPERIMENTAL (ORDEN)
3,FEAR_PLEASURE_SAM
4,SADNESS_PLEASURE_SAM
5,ANGER_PLEASURE_SAM
6,HAPPINESS_PLEASURE_SAM
7,FEAR_AROUSAL_SAM
8,SADNESS_AROUSAL_SAM
9,ANGER_AROUSAL_SAM
10,HAPPINESS_AROUSAL_SAM
11,FEAR_DOMINANCE_SAM
12,SADNESS_DOMINANCE_SAM
13,ANGER_DOMINANCE_SAM
14,HAPPINESS_DOMINANCE_SAM
15,FEAR_VIDEO_BUT_EMOTION_FELT
16,SADNESS_VIDEO_BUT_EMOTION_FELT
17,ANGER_VIDEO_BUT_EMOTION_FELT
18,HAPPINESS_VIDEO_BUT_EMOTION_FELT
19,FEAR_VIDEO_BUT_SPECIFIED_EMOTION_FELT
20,SADNESS_VIDEO_BUT_SPECIFIED_EMOTION_FELT
21,ANGER_VIDEO_BUT_SPECIFIED_EMOTION_FELT
22,HAPPINESS_VIDEO_BUT_SPECIFIED_EMOTION_FELT
23,FEAR_INHIBITION
24,SADNESS_INHIBITION
25,ANGER_INHIBITION
26,HAPPINESS_INHIBITION
27,FEAR_VIDEO_PREVIOUSLY_SEEN
28,SADNESS_VIDEO_PREVIOUSLY_SEEN
29,ANGER_VIDEO_PREVIOUSLY_SEEN
30,HAPPINESS_VIDEO_PREVIOUSLY_SEEN
31,FEAR_VIDEO_PREVIOUSLY_SEEN_INTENSE
32,SADNESS_VIDEO_PREVIOUSLY_SEEN_INTENSE
33,ANGER_VIDEO_PREVIOUSLY_SEEN_INTENSE
34,HAPPINESS_VIDEO_PREVIOUSLY_SEEN_INTENSE
35,HAPPINESS_VIDEO_DECISION_MAKING_1_BEBER_MUCHO
36,FEAR_VIDEO_DECISION_MAKING_1_BEBER_MUCHO
37,HAPPINESS_VIDEO_DECISION_MAKING_2_SEX
38,FEAR_VIDEO_DECISION_MAKING_2_SEX
39,HAPPINESS_VIDEO_DECISION_MAKING_3_MOTO_SIN_CASCO
40,FEAR_VIDEO_DECISION_MAKING_3_MOTO_SIN_CASCO
41,HAPPINESS_VIDEO_DECISION_MAKING_4_SOL_SIN_CREMA
42,FEAR_VIDEO_DECISION_MAKING_4_SOL_SIN_CREMA
43,HAPPINESS_VIDEO_DECISION_MAKING_5_CAMINAR_SOLO
44,FEAR_VIDEO_DECISION_MAKING_5_CAMINAR_SOLO
45,HAPPINESS_VIDEO_DECISION_MAKING_6_DIA_DIA
46,FEAR_VIDEO_DECISION_MAKING_6_DIA_DIA
